tcp.stream,ip.src,tcp.srcport,ip.dst,tcp.dstport,frame.time,tcp.len
21,192.168.1.143,50433,192.168.4.2,5056,Jan 21, 2026 14:30:11.440157000 CST,0
21,192.168.4.2,5056,192.168.1.143,50433,Jan 21, 2026 14:30:11.440181000 CST,1380
21,192.168.4.2,5056,192.168.1.143,50433,Jan 21, 2026 14:30:11.440251000 CST,1380
21,192.168.4.2,5056,192.168.1.143,50433,Jan 21, 2026 14:30:11.440251000 CST,1380
21,192.168.4.2,5056,192.168.1.143,50433,Jan 21, 2026 14:30:11.440251000 CST,1380
18,192.168.4.2,44550,192.168.1.143,2113,Jan 21, 2026 14:30:11.443886000 CST,0
21,192.168.1.143,50433,192.168.4.2,5056,Jan 21, 2026 14:30:11.446549000 CST,0
21,192.168.1.143,50433,192.168.4.2,5056,Jan 21, 2026 14:30:11.446549000 CST,0
21,192.168.4.2,5056,192.168.1.143,50433,Jan 21, 2026 14:30:11.446564000 CST,1380
21,192.168.4.2,5056,192.168.1.143,50433,Jan 21, 2026 14:30:11.446582000 CST,1380
21,192.168.1.143,50433,192.168.4.2,5056,Jan 21, 2026 14:30:11.530753000 CST,0
21,192.168.4.2,5056,192.168.1.143,50433,Jan 21, 2026 14:30:11.530815000 CST,1380
21,192.168.1.143,50433,192.168.4.2,5056,Jan 21, 2026 14:30:11.536260000 CST,0
21,192.168.4.2,5056,192.168.1.143,50433,Jan 21, 2026 14:30:11.536313000 CST,1380
21,192.168.4.2,5056,192.168.1.143,50433,Jan 21, 2026 14:30:11.536313000 CST,1380
21,192.168.4.2,5056,192.168.1.143,50433,Jan 21, 2026 14:30:11.536313000 CST,1380
21,192.168.1.143,50433,192.168.4.2,5056,Jan 21, 2026 14:30:11.536469000 CST,0
21,192.168.1.143,50433,192.168.4.2,5056,Jan 21, 2026 14:30:11.542552000 CST,0
21,192.168.1.143,50433,192.168.4.2,5056,Jan 21, 2026 14:30:11.542552000 CST,0
21,192.168.4.2,5056,192.168.1.143,50433,Jan 21, 2026 14:30:11.542642000 CST,1380
21,192.168.4.2,5056,192.168.1.143,50433,Jan 21, 2026 14:30:11.542642000 CST,1380
21,192.168.4.2,5056,192.168.1.143,50433,Jan 21, 2026 14:30:11.542642000 CST,1380
21,192.168.4.2,5056,192.168.1.143,50433,Jan 21, 2026 14:30:11.542642000 CST,1380
21,192.168.4.2,5056,192.168.1.143,50433,Jan 21, 2026 14:30:11.542642000 CST,1380
18,192.168.1.143,2113,192.168.4.2,44550,Jan 21, 2026 14:30:11.546856000 CST,0
21,192.168.1.143,50433,192.168.4.2,5056,Jan 21, 2026 14:30:11.546856000 CST,0
21,192.168.4.2,5056,192.168.1.143,50433,Jan 21, 2026 14:30:11.546918000 CST,1380
21,192.168.4.2,5056,192.168.1.143,50433,Jan 21, 2026 14:30:11.546918000 CST,1380
21,192.168.1.143,50433,192.168.4.2,5056,Jan 21, 2026 14:30:11.639060000 CST,0
